Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	sBC_nORF1 Spectral Count	sBC_nORF2 Spectral Count	sBC_nORF1 Unique Spectral Count	sBC_nORF2 Unique Spectral Count	sBC_nORF1 Total Spectral Count	sBC_nORF2 Total Spectral Count	sBC_nORF1 Intensity	sBC_nORF2 Intensity	sBC_nORF1 Unique Intensity	sBC_nORF2 Unique Intensity	sBC_nORF1 Total Intensity	sBC_nORF2 Total Intensity	Indistinguishable Proteins
ENSG00000095564.13_91924077_92028933_1849	ENSG00000095564.13_91924077_92028933_1849			1849	44.80				1.0000	0.9990	72	149	149	153	82	67	82	67	84	69	1.74735718E9	1.09746893E9	1.74735718E9	1.09746893E9	1.74735718E9	1.09746893E9	
ENSG00000095574.11_122998625_122993780_419	ENSG00000095574.11_122998625_122993780_419			419	19.10				1.0000	0.9990	6	11	11	11	7	4	7	4	7	4	6.9795174E9	2.05441498E9	6.9795174E9	2.05441498E9	6.9795174E9	2.05441498E9	
ENSG00000095585.16_96247036_96191973_413	ENSG00000095585.16_96247036_96191973_413			413	45.80				1.0000	0.9990	20	26	26	26	11	15	11	15	11	15	1.20440976E8	1.66039014E9	1.20440976E8	1.66039014E9	1.20440976E8	1.66039014E9	
ENSG00000095587.8_96513685_96368088_1015	ENSG00000095587.8_96513685_96368088_1015			1015	37.20				1.0000	0.9990	36	43	43	58	22	21	22	21	27	31	1.68489946E9	1.72139328E8	1.68489946E9	1.72139328E8	2.6185449E9	1.72522547E9	
ENSG00000095637.21_95441135_95315059_1292	ENSG00000095637.21_95441135_95315059_1292			1292	47.80				1.0000	0.9990	56	148	145	148	81	67	79	66	81	67	3.31541606E9	3.19334477E9	3.31541606E9	3.19334477E9	3.31541606E9	3.19334477E9	
ENSG00000095739.10_28677952_28682401_242	ENSG00000095739.10_28677952_28682401_242			242	47.90				1.0000	0.9990	9	12	12	12	4	8	4	8	4	8	0.0	1.44339392E8	0.0	1.44339392E8	0.0	1.44339392E8	
ENSG00000095777.14_25952111_26211963_1616	ENSG00000095777.14_25952111_26211963_1616			1616	42.50				1.0000	0.9990	69	107	107	107	57	50	57	50	57	50	2.0580098E10	1.81332029E10	2.0580098E10	1.81332029E10	2.0580098E10	1.81332029E10	
ENSG00000095787.21_28533586_28619606_645	ENSG00000095787.21_28533586_28619606_645			645	58.90				1.0000	0.9990	35	79	79	79	45	34	45	34	45	34	1.0371913E9	1.9251639E9	1.0371913E9	1.9251639E9	1.0371913E9	1.9251639E9	
ENSG00000095906.16_1783021_1788714_271	ENSG00000095906.16_1783021_1788714_271			271	70.10				1.0000	0.9990	17	69	69	69	37	32	37	32	37	32	3.15288602E9	2.36276941E9	3.15288602E9	2.36276941E9	3.15288602E9	2.36276941E9	
ENSG00000095932.6_3480463_3474843_130	ENSG00000095932.6_3480463_3474843_130			130	38.50				1.0000	0.9990	4	5	5	5	1	4	1	4	1	4	0.0	0.0	0.0	0.0	0.0	0.0	
ENSG00000095951.16_12015629_12164461_2718	ENSG00000095951.16_12015629_12164461_2718			2718	35.30				1.0000	0.9990	82	103	103	107	56	47	56	47	58	49	3.26878304E8	4.66053792E8	3.26878304E8	4.66053792E8	3.26878304E8	4.66053792E8	
ENSG00000095981.10_39322540_39315124_322	ENSG00000095981.10_39322540_39315124_322			322	22.40				1.0000	0.9990	2	3	3	3	1	2	1	2	1	2	0.0	1.82505232E8	0.0	1.82505232E8	0.0	1.82505232E8	
ENSG00000095981.10_39322540_39316219_294	ENSG00000095981.10_39322540_39316219_294			294	15.00				1.0000	0.9990	2	3	3	3	2	1	2	1	2	1	0.0	0.0	0.0	0.0	0.0	0.0	
ENSG00000096060.14_35642824_35575835_457	ENSG00000096060.14_35642824_35575835_457			457	82.50				1.0000	0.9990	52	140	140	140	69	71	69	71	69	71	3.29329894E9	2.20840013E9	3.29329894E9	2.20840013E9	3.29329894E9	2.20840013E9	
ENSG00000096063.15_35921056_35835304_655	ENSG00000096063.15_35921056_35835304_655			655	47.20				1.0000	0.9990	28	81	74	81	40	41	36	38	40	41	2.03518541E9	2.1648681E9	1.7012855E9	2.39036237E9	2.03518541E9	2.1648681E9	
ENSG00000096070.19_36200323_36230609_1205	ENSG00000096070.19_36200323_36230609_1205			1205	48.20				1.0000	0.9990	48	73	71	77	43	30	41	30	45	32	5.7532998E8	9.6244704E8	5.7532998E8	9.6244704E8	5.7532998E8	9.6244704E8	
ENSG00000096092.5_52677103_52686049_99	ENSG00000096092.5_52677103_52686049_99			99	39.40				1.0000	0.9990	3	5	5	5	2	3	2	3	2	3	0.0	0.0	0.0	0.0	0.0	0.0	
ENSG00000096093.15_52420411_52492341_640	ENSG00000096093.15_52420411_52492341_640			640	32.00				1.0000	0.9990	17	27	27	27	17	10	17	10	17	10	5.08518368E8	1.672264E8	5.08518368E8	1.672264E8	5.08518368E8	1.672264E8	
ENSG00000096384.19_44248630_44253598_724	ENSG00000096384.19_44248630_44253598_724			724	76.20				1.0000	0.9990	65	1600	1103	1600	873	727	585	518	873	727	4.35538887E11	5.28202203E11	2.16113775E11	3.07998786E11	4.35538887E11	5.28202203E11	
ENSG00000096395.10_33801163_33794825_115	ENSG00000096395.10_33801163_33794825_115			115	38.30				1.0000	0.9990	6	10	10	10	6	4	6	4	6	4	2.19924768E8	2.6494512E8	2.19924768E8	2.6494512E8	2.19924768E8	2.6494512E8	
ENSG00000096401.7_44387824_44446711_802	ENSG00000096401.7_44387824_44446711_802			802	78.80				1.0000	0.9990	69	268	268	268	133	135	133	135	133	135	9.4953083E9	9.8968074E9	9.4953083E9	9.8968074E9	9.4953083E9	9.8968074E9	
ENSG00000096433.10_33621612_33695780_2668	ENSG00000096433.10_33621612_33695780_2668			2668	57.00				1.0000	0.9990	149	417	382	417	207	210	190	192	207	210	2.75274701E9	2.79686963E9	2.75274701E9	2.79686963E9	2.75274701E9	2.79686963E9	
ENSG00000096654.15_27472294_27451303_751	ENSG00000096654.15_27472294_27451303_751			751	28.00				1.0000	0.9990	20	22	22	25	10	12	10	12	13	12	9.9267654E8	1.05048058E9	9.9267654E8	1.05048058E9	9.9267654E8	1.05048058E9	
ENSG00000096696.13_7541916_7585878_2871	ENSG00000096696.13_7541916_7585878_2871			2871	75.10				1.0000	0.9990	263	1384	1384	1384	692	692	692	692	692	692	2.62626693E10	2.72677683E10	2.62626693E10	2.72677683E10	2.62626693E10	2.72677683E10	
ENSG00000096717.11_67884722_67916593_747	ENSG00000096717.11_67884722_67916593_747			747	53.90				1.0000	0.9990	27	48	48	48	29	19	29	19	29	19	5.6767578E8	3.20403968E8	5.6767578E8	3.20403968E8	5.6767578E8	3.20403968E8	
ENSG00000096872.15_26961968_27036514_372	ENSG00000096872.15_26961968_27036514_372			372	81.20				1.0000	0.9990	33	2	2	59	1	1	1	1	34	25	0.0	0.0	0.0	0.0	4.39492864E8	6.8849427E8	
ENSG00000096872.15_26961968_27062736_600	ENSG00000096872.15_26961968_27062736_600			600	77.30				1.0000	0.9990	51	101	44	101	56	45	23	21	56	45	4.84874464E8	9.0785894E8	3.36342528E8	6.4338259E8	4.84874464E8	9.0785894E8	
ENSG00000096968.13_5022018_5126791_1122	ENSG00000096968.13_5022018_5126791_1122			1122	41.40				1.0000	0.9990	38	56	55	58	30	26	29	26	31	27	3.2743936E8	2.448744E8	2.18887264E8	2.448744E8	3.67473024E8	5.6341517E8	
ENSG00000097007.17_130714320_130885683_1149	ENSG00000097007.17_130714320_130885683_1149			1149	61.10				1.0000	0.9990	65	116	104	116	61	55	54	50	61	55	5.3634304E8	1.03654477E9	5.3634304E8	1.03654477E9	5.3634304E8	1.03654477E9	
ENSG00000097021.19_6360652_6264597_350	ENSG00000097021.19_6360652_6264597_350			350	62.00				1.0000	0.9990	22	98	98	98	54	44	54	44	54	44	4.28936858E9	7.8874655E9	4.28936858E9	7.8874655E9	4.28936858E9	7.8874655E9	
ENSG00000097033.14_86704900_86743235_365	ENSG00000097033.14_86704900_86743235_365			365	41.60				1.0000	0.9990	20	66	66	70	42	24	42	24	44	26	4.4313318E9	2.22076544E9	4.4313318E9	2.22076544E9	4.4313318E9	2.22076544E9	
ENSG00000097046.12_91501753_91524435_562	ENSG00000097046.12_91501753_91524435_562			562	38.40				1.0000	0.9990	20	25	25	25	14	11	14	11	14	11	3.49889216E8	2.97725184E8	3.49889216E8	2.97725184E8	3.49889216E8	2.97725184E8	
ENSG00000097096.8_85200621_85158750_1069	ENSG00000097096.8_85200621_85158750_1069			1069	44.50				1.0000	0.9990	45	82	82	82	48	34	48	34	48	34	3.7782192E10	2.85897052E10	3.7782192E10	2.85897052E10	3.7782192E10	2.85897052E10	
ENSG00000099139.13_75891182_76193352_913	ENSG00000099139.13_75891182_76193352_913			913	52.10				1.0000	0.9990	34	2	2	61	2	0	2	0	24	37	0.0	0.0	0.0	0.0	4.04871744E8	1.30610931E9	
ENSG00000099139.13_75891182_76358922_1860	ENSG00000099139.13_75891182_76358922_1860			1860	39.20				1.0000	0.9990	53	89	30	89	39	50	17	13	39	50	1.02140698E9	1.04703514E9	8.3817939E8	9.2999624E7	1.02140698E9	1.04703514E9	
ENSG00000099194.5_100347505_100360933_359	ENSG00000099194.5_100347505_100360933_359			359	30.10				1.0000	0.9990	9	17	17	17	10	7	10	7	10	7	1.41560589E9	1.68334221E9	1.41560589E9	1.68334221E9	1.41560589E9	1.68334221E9	
ENSG00000099203.6_10836146_10832995_212	ENSG00000099203.6_10836146_10832995_212			212	31.60				1.0000	0.9990	9	39	39	39	22	17	22	17	22	17	8.9926125E8	9.8597824E8	8.9926125E8	9.8597824E8	8.9926125E8	9.8597824E8	
ENSG00000099204.18_114684305_114436260_702	ENSG00000099204.18_114684305_114436260_702			702	70.50				1.0000	0.9990	51	86	84	86	53	33	52	32	53	33	6.7434304E8	1.64143552E9	6.7434304E8	1.64143552E9	6.7434304E8	1.64143552E9	
ENSG00000099219.13_5833027_5787144_904	ENSG00000099219.13_5833027_5787144_904			904	40.30				1.0000	0.9990	36	125	125	125	71	54	71	54	71	54	7.0987858E9	8.1410053E9	7.0987858E9	8.1410053E9	7.0987858E9	8.1410053E9	
ENSG00000099246.16_27504370_27538051_206	ENSG00000099246.16_27504370_27538051_206			206	66.50				1.0000	0.9990	17	91	91	91	45	46	45	46	45	46	4.8490757E9	1.12781445E10	4.8490757E9	1.12781445E10	4.8490757E9	1.12781445E10	
ENSG00000099256.18_24952575_24849844_225	ENSG00000099256.18_24952575_24849844_225			225	56.90				1.0000	0.9990	14	31	4	32	15	16	2	2	15	17	2.01940736E9	1.25166541E9	5.08795008E8	1.0578297E9	2.01940736E9	1.25166541E9	
ENSG00000099260.10_99646318_99694062_551	ENSG00000099260.10_99646318_99694062_551			551	57.50				1.0000	0.9990	21	34	34	34	22	12	22	12	22	12	2.62417696E8	4.36892736E8	2.62417696E8	4.36892736E8	2.62417696E8	4.36892736E8	
ENSG00000099282.9_69451595_69506978_294	ENSG00000099282.9_69451595_69506978_294			294	37.80				1.0000	0.9990	15	28	28	28	15	13	15	13	15	13	4.79384384E8	4.06498368E8	4.79384384E8	4.06498368E8	4.79384384E8	4.06498368E8	
ENSG00000099284.13_70075686_70111683_363	ENSG00000099284.13_70075686_70111683_363			363	75.80				1.0000	0.9990	32	390	390	470	208	182	208	182	258	212	6.3079621E10	7.2075895E10	6.3079621E10	7.2075895E10	1.29609286E11	1.12608657E11	
ENSG00000099290.15_50068006_50132945_1320	ENSG00000099290.15_50068006_50132945_1320			1320	59.50				1.0000	0.9990	65	179	50	179	96	83	28	22	96	83	2.54809344E9	2.86474778E9	1.72571981E9	2.55756448E8	2.54809344E9	2.86474778E9	
ENSG00000099308.10_18097793_18149726_1309	ENSG00000099308.10_18097793_18149726_1309			1309	48.40				1.0000	0.9990	58	79	76	85	44	35	43	33	47	38	1.60450022E9	1.41845734E9	1.60450022E9	1.41845734E9	4.29439539E9	4.05046912E9	
ENSG00000099326.8_58571329_58562072_714	ENSG00000099326.8_58571329_58562072_714			714	38.90				1.0000	0.9990	19	27	27	27	10	17	10	17	10	17	1.37653402E9	2.249448E8	1.37653402E9	2.249448E8	1.37653402E9	2.249448E8	
ENSG00000099330.8_17226248_17228925_264	ENSG00000099330.8_17226248_17228925_264			264	26.50				1.0000	0.9990	11	36	36	36	20	16	20	16	20	16	1.31746816E9	0.0	1.31746816E9	0.0	1.31746816E9	0.0	
ENSG00000099331.13_17101718_17211785_2022	ENSG00000099331.13_17101718_17211785_2022			2022	60.50				1.0000	0.9990	117	199	194	199	114	85	113	81	114	85	9.3534182E8	2.8158441E9	9.3534182E8	2.8158441E9	9.3534182E8	2.8158441E9	
ENSG00000099337.4_38326745_38327403_155	ENSG00000099337.4_38326745_38327403_155			155	5.20				1.0000	0.9990	1	5	5	5	2	3	2	3	2	3	1.6195392E8	9.60718E7	1.6195392E8	9.60718E7	1.6195392E8	9.60718E7	
ENSG00000099338.22_38337250_38370792_1114	ENSG00000099338.22_38337250_38370792_1114			1114	22.90				1.0000	0.9990	22	37	37	37	22	15	22	15	22	15	4.45100736E8	3.28357248E8	4.45100736E8	3.28357248E8	4.45100736E8	3.28357248E8	
ENSG00000099341.11_38374791_38383390_287	ENSG00000099341.11_38374791_38383390_287			287	74.60				1.0000	0.9990	22	89	89	89	44	45	44	45	44	45	1.18060073E10	1.3789097E10	1.18060073E10	1.3789097E10	1.18060073E10	1.3789097E10	
ENSG00000099364.16_30925755_30947230_674	ENSG00000099364.16_30925755_30947230_674			674	40.70				1.0000	0.9990	24	27	27	33	11	16	11	16	14	19	1.36618016E8	1.6129184E9	1.36618016E8	1.6129184E9	1.36618016E8	1.6129184E9	
ENSG00000099365.10_31010396_30992821_288	ENSG00000099365.10_31010396_30992821_288			288	52.80				1.0000	0.9990	15	16	16	36	15	1	15	1	27	9	8.2383578E8	0.0	8.2383578E8	0.0	3.79416115E9	2.66229632E9	
ENSG00000099377.13_30985740_30988183_342	ENSG00000099377.13_30985740_30988183_342			342	34.20				1.0000	0.9990	9	22	22	22	16	6	16	6	16	6	2.03468368E8	2.813296E8	2.03468368E8	2.813296E8	2.03468368E8	2.813296E8	
ENSG00000099381.17_30958732_30984023_1707	ENSG00000099381.17_30958732_30984023_1707			1707	45.40				1.0000	0.9990	67	113	111	113	65	48	64	47	65	48	1.25394688E9	3.94840064E8	1.25394688E9	3.94840064E8	1.25394688E9	3.94840064E8	
ENSG00000099385.11_30893881_30887865_196	ENSG00000099385.11_30893881_30887865_196			196	55.10				1.0000	0.9990	10	20	20	20	10	10	10	10	10	10	6.6295046E8	1.19368218E9	6.6295046E8	1.19368218E9	6.6295046E8	1.19368218E9	
ENSG00000099624.7_1241851_1244437_168	ENSG00000099624.7_1241851_1244437_168			168	50.60				1.0000	0.9990	9	81	81	81	48	33	48	33	48	33	8.1875195E9	9.9312671E9	8.1875195E9	9.9312671E9	8.1875195E9	9.9312671E9	
ENSG00000099783.11_8444999_8488854_730	ENSG00000099783.11_8444999_8488854_730			730	91.20				1.0000	0.9990	109	1490	1490	1490	735	755	735	755	735	755	7.1030579E10	7.4358252E10	7.1030579E10	7.4358252E10	7.1030579E10	7.4358252E10	
ENSG00000099795.6_14571937_14566133_116	ENSG00000099795.6_14571937_14566133_116			116	80.20				1.0000	0.9990	13	37	37	37	19	18	19	18	19	18	4.819582E9	5.7051279E9	4.819582E9	5.7051279E9	4.819582E9	5.7051279E9	
ENSG00000099797.13_14529697_14565871_308	ENSG00000099797.13_14529697_14565871_308			308	40.30				1.0000	0.9990	18	76	76	76	30	46	30	46	30	46	2.25158246E10	2.93149983E10	2.25158246E10	2.93149983E10	2.25158246E10	2.93149983E10	
ENSG00000099800.7_2427533_2426948_95	ENSG00000099800.7_2427533_2426948_95			95	84.20				1.0000	0.9990	11	89	89	89	37	52	37	52	37	52	2.38509466E9	9.8412442E9	2.38509466E9	9.8412442E9	2.38509466E9	9.8412442E9	
ENSG00000099804.8_531932_541552_236	ENSG00000099804.8_531932_541552_236			236	38.10				1.0000	0.9990	8	16	14	16	10	6	9	5	10	6	3.83405517E9	4.5722337E9	1.71351155E9	2.36871936E9	3.83405517E9	4.5722337E9	
ENSG00000099810.18_21802749_21862014_283	ENSG00000099810.18_21802749_21862014_283			283	86.90				1.0000	0.9990	28	151	151	151	80	71	80	71	80	71	1.361758E10	1.03837245E10	1.361758E10	1.03837245E10	1.361758E10	1.03837245E10	
ENSG00000099812.8_757307_763590_559	ENSG00000099812.8_757307_763590_559			559	46.90				1.0000	0.9990	24	39	39	39	24	15	24	15	24	15	5.27480384E8	1.76037968E8	5.27480384E8	1.76037968E8	5.27480384E8	1.76037968E8	
ENSG00000099814.15_104868547_104894958_1522	ENSG00000099814.15_104868547_104894958_1522			1522	68.30				1.0000	0.9990	101	157	157	157	90	67	90	67	90	67	1.80407424E9	1.07347878E9	1.80407424E9	1.07347878E9	1.80407424E9	1.07347878E9	
ENSG00000099817.11_1095315_1089486_210	ENSG00000099817.11_1095315_1089486_210			210	71.40				1.0000	0.9990	18	80	80	80	38	42	38	42	38	42	3.45975398E9	6.1354153E9	3.45975398E9	6.1354153E9	3.45975398E9	6.1354153E9	
ENSG00000099821.13_633557_617274_1245	ENSG00000099821.13_633557_617274_1245			1245	46.90				1.0000	0.9990	51	70	70	70	34	36	34	36	34	36	1.36603379E9	2.24591027E9	1.36603379E9	2.24591027E9	1.36603379E9	2.24591027E9	
ENSG00000099864.17_709147_746814_387	ENSG00000099864.17_709147_746814_387			387	71.10				1.0000	0.9990	24	56	56	56	30	26	30	26	30	26	1.44836518E9	2.29935616E9	1.44836518E9	2.29935616E9	1.44836518E9	2.29935616E9	
ENSG00000099889.13_19990794_19971228_962	ENSG00000099889.13_19990794_19971228_962			962	65.90				1.0000	0.9990	62	186	186	186	107	79	107	79	107	79	6.5493924E9	1.9281577E9	6.5493924E9	1.9281577E9	6.5493924E9	1.9281577E9	
ENSG00000099899.14_20116600_20112563_613	ENSG00000099899.14_20116600_20112563_613			613	57.60				1.0000	0.9990	31	52	52	52	31	21	31	21	31	21	1.52487475E9	1.6798423E9	1.52487475E9	1.6798423E9	1.52487475E9	1.6798423E9	
ENSG00000099901.16_20116185_20127052_278	ENSG00000099901.16_20116185_20127052_278			278	70.50				1.0000	0.9990	27	140	137	140	70	70	69	68	70	70	1.09211412E10	3.21857556E10	1.35608307E9	2.22793155E10	1.09211412E10	3.21857556E10	
ENSG00000099904.15_20139291_20145400_698	ENSG00000099904.15_20139291_20145400_698			698	45.70				1.0000	0.9990	28	3	3	49	2	1	2	1	32	17	9.9793936E7	0.0	9.9793936E7	0.0	3.71020416E8	7.5920858E8	
ENSG00000099904.15_20139291_20147231_711	ENSG00000099904.15_20139291_20147231_711			711	45.10				1.0000	0.9990	28	50	6	51	33	17	4	2	34	17	1.96215808E8	1.11626099E9	2.75082528E8	3.57052384E8	1.96215808E8	1.11626099E9	
ENSG00000099910.16_20489211_20442073_634	ENSG00000099910.16_20489211_20442073_634			634	54.60				1.0000	0.9990	35	63	60	63	36	27	34	26	36	27	2.37575885E9	7.0877645E8	6.2275085E8	5.888192E8	2.37575885E9	7.0877645E8	
ENSG00000099917.17_20507679_20586704_748	ENSG00000099917.17_20507679_20586704_748			748	30.20				1.0000	0.9990	26	53	53	53	30	23	30	23	30	23	1.25128371E9	9.3407424E8	1.25128371E9	9.3407424E8	1.25128371E9	9.3407424E8	
ENSG00000099937.10_20779313_20787066_499	ENSG00000099937.10_20779313_20787066_499			499	46.30				1.0000	0.9990	19	44	44	44	22	22	22	22	22	22	5.5324902E8	1.68715955E9	5.5324902E8	1.68715955E9	5.5324902E8	1.68715955E9	
ENSG00000099940.11_20859111_20887836_258	ENSG00000099940.11_20859111_20887836_258			258	74.40				1.0000	0.9990	27	75	75	75	34	41	34	41	34	41	2.36643308E10	6.4068982E9	2.36643308E10	6.4068982E9	2.36643308E10	6.4068982E9	
ENSG00000099942.12_20917980_20949845_288	ENSG00000099942.12_20917980_20949845_288			288	93.40				1.0000	0.9990	25	131	131	131	64	67	64	67	64	67	1.34295265E10	1.10871982E10	1.34295265E10	1.10871982E10	1.34295265E10	1.10871982E10	
ENSG00000099949.18_20982372_20997348_840	ENSG00000099949.18_20982372_20997348_840			840	41.20				1.0000	0.9990	34	51	51	51	29	22	29	22	29	22	1.62313088E9	1.94603443E9	1.62313088E9	1.94603443E9	1.62313088E9	1.94603443E9	
ENSG00000099953.9_23772925_23783544_470	ENSG00000099953.9_23772925_23783544_470			470	34.70				1.0000	0.9990	15	44	44	44	19	25	19	25	19	25	4.5449385E9	1.28448256E9	4.5449385E9	1.28448256E9	4.5449385E9	1.28448256E9	
ENSG00000099954.18_17511858_17552840_1158	ENSG00000099954.18_17511858_17552840_1158			1158	57.00				1.0000	0.9990	53	93	93	93	50	43	50	43	50	43	3.58761824E8	4.60277088E8	3.58761824E8	4.60277088E8	3.58761824E8	4.60277088E8	
ENSG00000099956.18_23787179_23834180_382	ENSG00000099956.18_23787179_23834180_382			382	67.50				1.0000	0.9990	24	73	73	73	39	34	39	34	39	34	5.9306516E9	2.08367347E9	5.9306516E9	2.08367347E9	5.9306516E9	2.08367347E9	
ENSG00000099960.12_21031812_21029055_635	ENSG00000099960.12_21031812_21029055_635			635	16.90				1.0000	0.9990	6	13	13	13	9	4	9	4	9	4	2.39359776E8	1.6423336E8	2.39359776E8	1.6423336E8	2.39359776E8	1.6423336E8	
ENSG00000099977.13_23973910_23971551_71	ENSG00000099977.13_23973910_23971551_71			71	93.00				1.0000	0.9990	5	85	85	85	51	34	51	34	51	34	2.04650803E10	2.13481308E10	2.04650803E10	2.13481308E10	2.04650803E10	2.13481308E10	
ENSG00000099991.17_24035518_24178196_2220	ENSG00000099991.17_24035518_24178196_2220			2220	48.70				1.0000	0.9990	102	166	166	166	83	83	83	83	83	83	6.7244358E8	3.03560781E9	6.7244358E8	3.03560781E9	6.7244358E8	3.03560781E9	
ENSG00000099992.15_30326881_30292375_508	ENSG00000099992.15_30326881_30292375_508			508	45.90				1.0000	0.9990	26	51	38	54	28	23	23	15	28	26	6.3082605E8	1.54182618E9	6.0210022E8	1.19724723E9	6.3082605E8	2.02462502E9	
ENSG00000099994.10_24183077_24188436_790	ENSG00000099994.10_24183077_24188436_790			790	26.80				1.0000	0.9990	15	29	29	29	17	12	17	12	17	12	4.00575168E8	1.17748288E9	4.00575168E8	1.17748288E9	4.00575168E8	1.17748288E9	
ENSG00000099995.18_30356792_30334594_793	ENSG00000099995.18_30356792_30334594_793			793	60.80				1.0000	0.9990	57	299	299	299	157	142	157	142	157	142	1.42600919E10	1.84342118E10	1.42600919E10	1.84342118E10	1.42600919E10	1.84342118E10	
ENSG00000099999.14_30387313_30379600_377	ENSG00000099999.14_30387313_30379600_377			377	31.00				1.0000	0.9990	11	17	17	17	8	9	8	9	8	9	1.97167856E8	2.5249856E8	1.97167856E8	2.5249856E8	1.97167856E8	2.5249856E8	
ENSG00000100003.17_30406374_30416501_338	ENSG00000100003.17_30406374_30416501_338			338	48.20				1.0000	0.9990	16	3	3	37	1	2	1	2	17	20	1.36031824E8	3.65670464E8	1.36031824E8	3.65670464E8	5.410087E8	1.17856026E9	
ENSG00000100003.17_30406374_30422407_349	ENSG00000100003.17_30406374_30422407_349			349	50.10				1.0000	0.9990	17	45	11	45	20	25	4	7	20	25	1.18131405E9	2.92536269E9	9.799001E8	2.89954074E9	1.18131405E9	2.92536269E9	
ENSG00000100014.19_24302232_24414623_1117	ENSG00000100014.19_24302232_24414623_1117			1117	58.30				1.0000	0.9990	78	157	154	157	79	78	77	77	79	78	8.224352E8	1.96551283E9	8.224352E8	1.96551283E9	8.224352E8	1.96551283E9	
ENSG00000100023.18_21666100_21695490_520	ENSG00000100023.18_21666100_21695490_520			520	62.30				1.0000	0.9990	33	64	3	64	35	29	2	1	35	29	6.1449357E8	2.44605952E9	0.0	0.0	6.1449357E8	2.44605952E9	
ENSG00000100023.18_21666100_21696903_527	ENSG00000100023.18_21666100_21696903_527			527	60.70				1.0000	0.9990	33	2	2	63	2	0	2	0	35	28	0.0	0.0	0.0	0.0	6.1449357E8	2.44605952E9	
ENSG00000100028.11_24557675_24571977_126	ENSG00000100028.11_24557675_24571977_126			126	81.00				1.0000	0.9990	13	220	220	220	117	103	117	103	117	103	2.14638428E10	1.38825554E10	2.14638428E10	1.38825554E10	2.14638428E10	1.38825554E10	
ENSG00000100029.17_30591833_30577046_588	ENSG00000100029.17_30591833_30577046_588			588	48.00				1.0000	0.9990	33	94	94	94	49	45	49	45	49	45	9.8987274E9	1.22543473E10	9.8987274E9	1.22543473E10	9.8987274E9	1.22543473E10	
ENSG00000100031.18_24611082_24628839_569	ENSG00000100031.18_24611082_24628839_569			569	33.20				1.0000	0.9990	21	78	78	78	29	49	29	49	29	49	1.107106E10	4.4357601E9	1.107106E10	4.4357601E9	1.107106E10	4.4357601E9	
ENSG00000100034.13_21945862_21923092_392	ENSG00000100034.13_21945862_21923092_392			392	52.60				1.0000	0.9990	20	59	59	59	28	31	28	31	28	31	9.3951443E8	5.6212474E8	9.3951443E8	5.6212474E8	9.3951443E8	5.6212474E8	
ENSG00000100038.19_21975694_21957114_857	ENSG00000100038.19_21975694_21957114_857			857	60.90				1.0000	0.9990	43	84	83	84	46	38	45	38	46	38	6.2511309E8	7.8731661E8	6.2511309E8	7.8731661E8	6.2511309E8	7.8731661E8	
ENSG00000100056.11_19144640_19134196_476	ENSG00000100056.11_19144640_19134196_476			476	76.90				1.0000	0.9990	36	65	65	65	37	28	37	28	37	28	8.2340979E8	7.774016E8	8.2340979E8	7.774016E8	8.2340979E8	7.774016E8	
ENSG00000100065.14_37519200_37491159_1032	ENSG00000100065.14_37519200_37491159_1032			1032	40.00				1.0000	0.9990	43	76	76	76	46	30	46	30	46	30	1.41489318E9	2.4728681E9	1.41489318E9	2.4728681E9	1.41489318E9	2.4728681E9	
ENSG00000100075.9_19178673_19176130_311	ENSG00000100075.9_19178673_19176130_311			311	63.30				1.0000	0.9990	27	173	173	173	91	82	91	82	91	82	1.3179606E10	1.41840507E10	1.3179606E10	1.41840507E10	1.3179606E10	1.41840507E10	
ENSG00000100077.14_25604390_25722450_646	ENSG00000100077.14_25604390_25722450_646			646	65.50				1.0000	0.9990	37	32	32	66	16	16	16	16	33	33	7.8959024E7	3.99179744E8	7.8959024E7	3.99179744E8	7.0368435E8	1.31661158E9	
ENSG00000100079.6_37579905_37570263_132	ENSG00000100079.6_37579905_37570263_132			132	88.60				1.0000	0.9990	15	49	49	49	21	28	21	28	21	28	3.80609024E8	3.20687616E9	3.80609024E8	3.20687616E9	3.80609024E8	3.20687616E9	
ENSG00000100083.18_37608873_37632711_635	ENSG00000100083.18_37608873_37632711_635			635	44.70				1.0000	0.9990	25	70	62	70	41	29	37	25	41	29	2.41036749E9	4.8841999E9	1.53028787E9	2.15313306E9	2.41036749E9	4.8841999E9	
ENSG00000100084.14_19431476_19331440_1017	ENSG00000100084.14_19431476_19331440_1017			1017	50.60				1.0000	0.9990	44	101	101	101	51	50	51	50	51	50	4.33198464E8	8.9634323E8	4.33198464E8	8.9634323E8	4.33198464E8	8.9634323E8	
ENSG00000100092.20_37639812_37655684_693	ENSG00000100092.20_37639812_37655684_693			693	69.30				1.0000	0.9990	39	92	92	92	53	39	53	39	53	39	1.04330752E9	9.4020083E8	1.04330752E9	9.4020083E8	1.04330752E9	9.4020083E8	
