Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	sBC_nORF-1 Spectral Count	sBC_nORF-2 Spectral Count	sBC_nORF-1 Unique Spectral Count	sBC_nORF-2 Unique Spectral Count	sBC_nORF-1 Total Spectral Count	sBC_nORF-2 Total Spectral Count	sBC_nORF-1 Intensity	sBC_nORF-2 Intensity	sBC_nORF-1 Unique Intensity	sBC_nORF-2 Unique Intensity	sBC_nORF-1 Total Intensity	sBC_nORF-2 Total Intensity	Indistinguishable Proteins
ENSG00000105298.13_54_2327	ENSG00000105298.13_54_2327			758	47.60				1.0000	0.9990	40	79	79	79	35	44	35	44	35	44	5.25877312E8	1.53677696E9	5.25877312E8	1.53677696E9	5.25877312E8	1.53677696E9	
ENSG00000105321.12_223_1815	ENSG00000105321.12_223_1815			531	58.40				1.0000	0.9990	38	78	78	78	44	34	44	34	44	34	1.89326976E9	1.73703795E9	1.89326976E9	1.73703795E9	1.89326976E9	1.73703795E9	
ENSG00000105323.16_174_2741	ENSG00000105323.16_174_2741			856	55.70				1.0000	0.9990	62	321	321	321	161	160	161	160	161	160	2.57346376E10	3.0044373E10	2.57346376E10	3.0044373E10	2.57346376E10	3.0044373E10	
ENSG00000105329.9_868_2037	ENSG00000105329.9_868_2037			390	52.60				1.0000	0.9990	21	36	31	36	17	19	16	15	17	19	7.3640282E8	3.48657952E8	7.3640282E8	3.48657952E8	7.3640282E8	3.48657952E8	
ENSG00000105339.10_272_3904	ENSG00000105339.10_272_3904			1211	36.70				1.0000	0.9990	54	103	103	103	61	42	61	42	61	42	2.09209584E8	1.71453082E9	2.09209584E8	1.71453082E9	2.09209584E8	1.71453082E9	
ENSG00000105355.8_178_1479	ENSG00000105355.8_178_1479			434	86.90				1.0000	0.9990	33	198	198	198	102	96	102	96	102	96	1.26732483E10	1.45203005E10	1.26732483E10	1.45203005E10	1.26732483E10	1.45203005E10	
ENSG00000105372.6_373_807	ENSG00000105372.6_373_807			145	80.00				1.0000	0.9990	18	167	167	167	77	90	77	90	77	90	5.9535643E10	4.6113473E10	5.9535643E10	4.6113473E10	5.9535643E10	4.6113473E10	
ENSG00000105373.18_39_1472	ENSG00000105373.18_39_1472			478	48.10				1.0000	0.9990	27	47	47	47	26	21	26	21	26	21	3.12997824E8	1.27251123E9	3.12997824E8	1.27251123E9	3.12997824E8	1.27251123E9	
ENSG00000105379.9_93_857	ENSG00000105379.9_93_857			255	69.40				1.0000	0.9990	27	255	255	255	134	121	134	121	134	121	4.9821123E10	5.3620482E10	4.9821123E10	5.3620482E10	4.9821123E10	5.3620482E10	
ENSG00000105393.15_88_1074	ENSG00000105393.15_88_1074			329	69.90				1.0000	0.9990	25	82	82	82	47	35	47	35	47	35	7.8107456E8	2.16299802E9	7.8107456E8	2.16299802E9	7.8107456E8	2.16299802E9	
ENSG00000105398.3_141_995	ENSG00000105398.3_141_995			285	63.20				1.0000	0.9990	15	84	84	84	31	53	31	53	31	53	4.5907026E9	1.92339333E10	4.5907026E9	1.92339333E10	4.5907026E9	1.92339333E10	
ENSG00000105401.8_55_1188	ENSG00000105401.8_55_1188			378	51.10				1.0000	0.9990	21	83	83	83	45	38	45	38	45	38	1.32790508E10	1.10898606E10	1.32790508E10	1.10898606E10	1.32790508E10	1.10898606E10	
ENSG00000105404.10_99_653	ENSG00000105404.10_99_653			185	24.90				1.0000	0.9990	4	19	19	19	13	6	13	6	13	6	2.54070605E9	3.06028928E9	2.54070605E9	3.06028928E9	2.54070605E9	3.06028928E9	
ENSG00000105409.16_306_3239	ENSG00000105409.16_306_3239			978	40.00				1.0000	0.9990	35	23	20	308	11	12	10	10	151	157	2.49797744E8	4.809856E8	1.062346E8	4.809856E8	1.78218107E10	3.09365084E10	
ENSG00000105426.16_69_5753	ENSG00000105426.16_69_5753			1895	47.90				1.0000	0.9990	65	89	73	112	55	34	44	29	64	48	0.0	3.9771156E10	0.0	3.9771156E10	0.0	3.9771156E10	
ENSG00000105447.12_234_1571	ENSG00000105447.12_234_1571			446	68.40				1.0000	0.9990	23	47	47	47	26	21	26	21	26	21	2.58375424E8	2.97511706E9	2.58375424E8	2.97511706E9	2.58375424E8	2.97511706E9	
ENSG00000105472.12_336_1166	ENSG00000105472.12_336_1166			277	49.10				1.0000	0.9990	13	16	16	16	10	6	10	6	10	6	3.11508352E8	2.20820864E8	3.11508352E8	2.20820864E8	3.11508352E8	2.20820864E8	
ENSG00000105483.17_141_1601	ENSG00000105483.17_141_1601			487	40.90				1.0000	0.9990	17	33	33	33	22	11	22	11	22	11	1.70702438E9	1.06202624E9	1.70702438E9	1.06202624E9	1.70702438E9	1.06202624E9	
ENSG00000105486.13_436_3177	ENSG00000105486.13_436_3177			914	57.90				1.0000	0.9990	47	84	84	84	40	44	40	44	40	44	1.41069542E9	2.53370829E9	1.41069542E9	2.53370829E9	1.41069542E9	2.53370829E9	
ENSG00000105497.7_359_2491	ENSG00000105497.7_359_2491			711	42.50				1.0000	0.9990	26	51	50	51	25	26	24	26	25	26	2.20340048E8	7.7611334E8	2.20340048E8	7.7611334E8	2.20340048E8	7.7611334E8	
ENSG00000105499.13_359_1981	ENSG00000105499.13_359_1981			541	19.80				1.0000	0.9990	13	29	29	29	10	19	10	19	10	19	2.23415347E9	2.0281472E8	2.23415347E9	2.0281472E8	2.23415347E9	2.0281472E8	
ENSG00000105514.7_262_918	ENSG00000105514.7_262_918			219	73.10				1.0000	0.9990	20	61	57	170	26	35	23	34	86	84	8.7529175E9	9.6902943E9	1.44389171E9	2.57792666E9	5.8955936E10	3.7985591E10	
ENSG00000105516.10_445_1419	ENSG00000105516.10_445_1419			325	26.50				1.0000	0.9990	8	11	11	11	8	3	8	3	8	3	1.00380122E9	2.1819351E9	1.00380122E9	2.1819351E9	1.00380122E9	2.1819351E9	
ENSG00000105518.13_184_750	ENSG00000105518.13_184_750			189	29.60				1.0000	0.9990	6	24	24	24	12	12	12	12	12	12	8.9136476E9	5.4938066E9	8.9136476E9	5.4938066E9	8.9136476E9	5.4938066E9	
ENSG00000105519.15_2647_3192	ENSG00000105519.15_2647_3192			182	73.10				1.0000	0.9990	10	13	13	13	6	7	6	7	6	7	7.2100506E8	5.32257984E8	7.2100506E8	5.32257984E8	7.2100506E8	5.32257984E8	
ENSG00000105520.10_224_688	ENSG00000105520.10_224_688			155	29.70				1.0000	0.9990	7	10	10	10	7	3	7	3	7	3	1.22440928E8	1.58877312E8	1.22440928E8	1.58877312E8	1.22440928E8	1.58877312E8	
ENSG00000105520.10_377_1405	ENSG00000105520.10_377_1405			343	14.00				1.0000	0.9990	6	8	8	8	6	2	6	2	6	2	0.0	2.20283232E8	0.0	2.20283232E8	0.0	2.20283232E8	
ENSG00000105552.14_14_1189	ENSG00000105552.14_14_1189			392	64.30				1.0000	0.9990	31	265	73	265	136	129	41	32	136	129	3.787826E10	2.0271614E10	1.03421376E9	5.4203448E9	3.787826E10	2.0271614E10	
ENSG00000105552.14_6_905	ENSG00000105552.14_6_905			300	62.00				1.0000	0.9990	29	8	8	200	6	2	6	2	101	99	0.0	1.95956784E8	0.0	1.95956784E8	3.787826E10	2.0271614E10	
ENSG00000105556.11_1_1635	ENSG00000105556.11_1_1635			545	34.70				1.0000	0.9990	20	27	27	29	18	9	18	9	20	9	1.98548064E8	2.9731456E8	1.98548064E8	2.9731456E8	2.4803736E8	2.9731456E8	
ENSG00000105559.11_938_2893	ENSG00000105559.11_938_2893			652	53.10				1.0000	0.9990	30	84	84	84	53	31	53	31	53	31	6.4182485E10	1.0143744E10	6.4182485E10	1.0143744E10	6.4182485E10	1.0143744E10	
ENSG00000105568.17_59_1825	ENSG00000105568.17_59_1825			589	67.20				1.0000	0.9990	43	430	342	430	214	216	167	175	214	216	4.4097171E10	5.0864927E10	4.4097171E10	5.0864927E10	4.4097171E10	5.0864927E10	
ENSG00000105576.15_236_2896	ENSG00000105576.15_236_2896			887	53.80				1.0000	0.9990	39	137	137	201	80	57	80	57	118	83	3.77476224E9	3.85043814E9	3.77476224E9	3.85043814E9	9.8034135E9	8.6105836E9	
ENSG00000105583.9_1954_2271	ENSG00000105583.9_1954_2271			106	81.10				1.0000	0.9990	6	7	7	7	5	2	5	2	5	2	0.0	0.0	0.0	0.0	0.0	0.0	
ENSG00000105607.12_212_1525	ENSG00000105607.12_212_1525			438	52.10				1.0000	0.9990	20	122	122	122	57	65	57	65	57	65	7.0053755E9	6.3568466E9	7.0053755E9	6.3568466E9	7.0053755E9	6.3568466E9	
ENSG00000105612.8_94_1173	ENSG00000105612.8_94_1173			360	20.30				1.0000	0.9990	8	23	23	23	13	10	13	10	13	10	8.3932012E9	8.8006543E9	8.3932012E9	8.8006543E9	8.3932012E9	8.8006543E9	
ENSG00000105613.9_616_4749	ENSG00000105613.9_616_4749			1378	48.00				1.0000	0.9990	59	77	77	93	39	38	39	38	47	46	4.93286112E8	2.10313805E9	4.93286112E8	2.10313805E9	2.18637875E9	5.0777999E9	
ENSG00000105617.3_188_979	ENSG00000105617.3_188_979			264	56.80				1.0000	0.9990	17	37	37	37	15	22	15	22	15	22	1.09933568E9	5.3620454E9	1.09933568E9	5.3620454E9	1.09933568E9	5.3620454E9	
ENSG00000105618.13_350_1846	ENSG00000105618.13_350_1846			499	64.10				1.0000	0.9990	30	120	120	120	76	44	76	44	76	44	3.60542566E9	5.9870438E9	3.60542566E9	5.9870438E9	3.60542566E9	5.9870438E9	
ENSG00000105619.13_407_1165	ENSG00000105619.13_407_1165			253	7.90				1.0000	0.9990	2	2	2	2	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	
ENSG00000105643.9_184_1389	ENSG00000105643.9_184_1389			402	35.30				1.0000	0.9990	17	37	37	37	19	18	19	18	19	18	1.66154675E9	6.6486778E8	1.66154675E9	6.6486778E8	1.66154675E9	6.6486778E8	
ENSG00000105649.9_243_839	ENSG00000105649.9_243_839			199	56.80				1.0000	0.9990	9	30	30	81	16	14	16	14	43	38	1.23657702E9	5.06692736E8	1.23657702E9	5.06692736E8	5.8955936E10	3.7985591E10	
ENSG00000105650.21_945_3008	ENSG00000105650.21_945_3008			688	49.00				1.0000	0.9990	27	44	44	50	19	25	19	25	23	27	0.0	1.04034726E9	0.0	1.04034726E9	0.0	1.04034726E9	
ENSG00000105655.18_219_1892	ENSG00000105655.18_219_1892			558	60.90				1.0000	0.9990	32	188	188	188	115	73	115	73	115	73	7.0419497E9	9.295615E9	7.0419497E9	9.295615E9	7.0419497E9	9.295615E9	
ENSG00000105656.12_73_1935	ENSG00000105656.12_73_1935			621	59.70				1.0000	0.9990	43	74	74	74	41	33	41	33	41	33	1.58101235E9	1.80480983E10	1.58101235E9	1.80480983E10	1.58101235E9	1.80480983E10	
ENSG00000105662.15_26_1975	ENSG00000105662.15_26_1975			650	30.40				1.0000	0.9990	15	46	0	46	27	19	0	0	27	19	1.39103539E9	1.10063053E9	0.0	0.0	1.39103539E9	1.10063053E9	ENSG00000105662.15_27_1928
ENSG00000105671.11_68_1516	ENSG00000105671.11_68_1516			483	49.10				1.0000	0.9990	23	64	64	64	38	26	38	26	38	26	7.5896284E9	1.08874486E10	7.5896284E9	1.08874486E10	7.5896284E9	1.08874486E10	
ENSG00000105676.13_403_1830	ENSG00000105676.13_403_1830			476	51.70				1.0000	0.9990	24	43	43	43	27	16	27	16	27	16	1.02124064E9	1.59009178E9	1.02124064E9	1.59009178E9	1.02124064E9	1.59009178E9	
ENSG00000105677.11_146_817	ENSG00000105677.11_146_817			224	21.90				1.0000	0.9990	4	8	8	8	5	3	5	3	5	3	6.268256E8	2.76066944E8	6.268256E8	2.76066944E8	6.268256E8	2.76066944E8	
ENSG00000105696.8_101_940	ENSG00000105696.8_101_940			280	35.40				1.0000	0.9990	8	11	0	11	9	2	0	0	9	2	1.3746544E8	1.19235664E8	0.0	0.0	1.3746544E8	1.19235664E8	ENSG00000105696.8_204_1211
ENSG00000105699.16_108_1997	ENSG00000105699.16_108_1997			630	61.80				1.0000	0.9990	45	106	0	106	52	54	0	0	52	54	8.4405862E9	6.8902702E9	0.0	0.0	8.4405862E9	6.8902702E9	ENSG00000105699.16_115_1857
ENSG00000105701.15_111_1346	ENSG00000105701.15_111_1346			412	45.60				1.0000	0.9990	18	90	90	90	51	39	51	39	51	39	7.4065439E9	8.8524749E9	7.4065439E9	8.8524749E9	7.4065439E9	8.8524749E9	
ENSG00000105705.15_26_679	ENSG00000105705.15_26_679			218	59.20				1.0000	0.9990	8	9	9	9	4	5	4	5	4	5	6.4397796E7	4.22035008E8	6.4397796E7	4.22035008E8	6.4397796E7	4.22035008E8	
ENSG00000105707.13_826_2076	ENSG00000105707.13_826_2076			417	47.50				1.0000	0.9990	14	36	36	36	17	19	17	19	17	19	8.841776E8	1.26012365E9	8.841776E8	1.26012365E9	8.841776E8	1.26012365E9	
ENSG00000105708.8_140_2065	ENSG00000105708.8_140_2065			642	55.30				1.0000	0.9990	29	34	34	38	16	18	16	18	18	20	1.43440672E8	6.4123667E8	1.43440672E8	6.4123667E8	7.3471792E7	8.1031494E8	
ENSG00000105722.9_159_1802	ENSG00000105722.9_159_1802			548	43.80				1.0000	0.9990	21	26	26	31	13	13	13	13	15	16	3.15156128E8	4.94067104E8	3.15156128E8	4.94067104E8	3.15156128E8	5.14338304E8	
ENSG00000105723.11_129_1577	ENSG00000105723.11_129_1577			483	60.20				1.0000	0.9990	30	98	77	98	63	35	52	25	63	35	2.57998694E9	3.25031859E9	2.16357478E9	2.56418611E9	2.57998694E9	3.25031859E9	
ENSG00000105726.16_28_3639	ENSG00000105726.16_28_3639			1204	56.70				1.0000	0.9990	74	268	268	268	137	131	137	131	137	131	4.24335053E9	8.8931523E9	4.24335053E9	8.8931523E9	4.24335053E9	8.8931523E9	
ENSG00000105732.12_142_2829	ENSG00000105732.12_142_2829			896	22.70				1.0000	0.9990	20	27	27	27	16	11	16	11	16	11	1.24532659E9	8.8951891E8	1.24532659E9	8.8951891E8	1.24532659E9	8.8951891E8	
ENSG00000105737.9_279_2978	ENSG00000105737.9_279_2978			900	45.00				1.0000	0.9990	33	48	48	48	22	26	22	26	22	26	7.6722368E8	8.6584499E8	7.6722368E8	8.6584499E8	7.6722368E8	8.6584499E8	
ENSG00000105738.10_510_5852	ENSG00000105738.10_510_5852			1781	61.80				1.0000	0.9990	108	217	217	217	119	98	119	98	119	98	2.71625318E9	1.80269184E9	2.71625318E9	1.80269184E9	2.71625318E9	1.80269184E9	
ENSG00000105767.2_50_1213	ENSG00000105767.2_50_1213			388	51.50				1.0000	0.9990	15	93	93	93	49	44	49	44	49	44	3.35577754E9	2.60258048E9	3.35577754E9	2.60258048E9	3.35577754E9	2.60258048E9	
ENSG00000105771.13_344_1903	ENSG00000105771.13_344_1903			520	62.30				1.0000	0.9990	35	49	49	49	27	22	27	22	27	22	3.64490624E8	1.35969421E9	3.64490624E8	1.35969421E9	3.64490624E8	1.35969421E9	
ENSG00000105778.18_222_2165	ENSG00000105778.18_222_2165			648	56.50				1.0000	0.9990	28	74	74	74	49	25	49	25	49	25	7.4925901E8	1.27765478E9	7.4925901E8	1.27765478E9	7.4925901E8	1.27765478E9	
ENSG00000105793.15_67_1227	ENSG00000105793.15_67_1227			387	77.50				1.0000	0.9990	37	96	96	96	64	32	64	32	64	32	1.22634342E9	0.0	1.22634342E9	0.0	1.22634342E9	0.0	
ENSG00000105810.9_413_1390	ENSG00000105810.9_413_1390			326	57.40				1.0000	0.9990	16	20	20	21	9	11	9	11	9	12	3.32041792E8	3.28092672E8	3.32041792E8	3.28092672E8	3.32041792E8	3.28092672E8	
ENSG00000105821.14_252_2114	ENSG00000105821.14_252_2114			621	68.40				1.0000	0.9990	51	92	92	92	47	45	47	45	47	45	8.787664E8	1.49133696E9	8.787664E8	1.49133696E9	8.787664E8	1.49133696E9	
ENSG00000105825.11_314_1018	ENSG00000105825.11_314_1018			235	40.00				1.0000	0.9990	8	13	13	13	8	5	8	5	8	5	2.71507584E8	1.71372624E8	2.71507584E8	1.71372624E8	2.71507584E8	1.71372624E8	
ENSG00000105835.11_309_1781	ENSG00000105835.11_309_1781			491	76.20				1.0000	0.9990	37	172	172	172	76	96	76	96	76	96	1.63840041E10	2.18371564E10	1.63840041E10	2.18371564E10	1.63840041E10	2.18371564E10	
ENSG00000105849.5_72_1085	ENSG00000105849.5_72_1085			338	75.10				1.0000	0.9990	17	48	48	48	26	22	26	22	26	22	5.13400192E8	1.58730035E9	5.13400192E8	1.58730035E9	5.13400192E8	1.58730035E9	
ENSG00000105852.10_69_1073	ENSG00000105852.10_69_1073			335	34.60				1.0000	0.9990	9	13	13	13	8	5	8	5	8	5	1.5606576E8	1.07964712E8	1.5606576E8	1.07964712E8	1.5606576E8	1.07964712E8	
ENSG00000105854.12_15_269	ENSG00000105854.12_15_269			85	72.90				1.0000	0.9990	9	30	30	30	18	12	18	12	18	12	7.2381251E9	1.39462605E10	7.2381251E9	1.39462605E10	7.2381251E9	1.39462605E10	
ENSG00000105855.9_685_2991	ENSG00000105855.9_685_2991			769	45.90				1.0000	0.9990	32	57	57	57	28	29	28	29	28	29	3.27699584E8	4.49170112E8	3.27699584E8	4.49170112E8	3.27699584E8	4.49170112E8	
ENSG00000105856.13_214_1728	ENSG00000105856.13_214_1728			505	56.60				1.0000	0.9990	24	38	38	38	19	19	19	19	19	19	0.0	1.03619866E9	0.0	1.03619866E9	0.0	1.03619866E9	
ENSG00000105865.10_363_1313	ENSG00000105865.10_363_1313			317	68.10				1.0000	0.9990	22	54	54	54	25	29	25	29	25	29	8.9391565E8	8.7969915E9	8.9391565E8	8.7969915E9	8.9391565E8	8.7969915E9	
ENSG00000105866.13_270_2570	ENSG00000105866.13_270_2570			767	15.00				1.0000	0.9990	11	30	30	30	16	14	16	14	16	14	1.33401101E9	5.4315066E8	1.33401101E9	5.4315066E8	1.33401101E9	5.4315066E8	
ENSG00000105875.13_33_2273	ENSG00000105875.13_33_2273			747	59.00				1.0000	0.9990	42	74	74	74	45	29	45	29	45	29	3.04368352E8	9.3321331E8	3.04368352E8	9.3321331E8	3.04368352E8	9.3321331E8	
ENSG00000105879.11_173_1492	ENSG00000105879.11_173_1492			440	33.90				1.0000	0.9990	13	29	4	29	17	12	2	2	17	12	4.8546816E8	8.8188762E8	0.0	0.0	4.8546816E8	8.8188762E8	
ENSG00000105879.11_618_1940	ENSG00000105879.11_618_1940			441	34.00				1.0000	0.9990	13	2	2	27	0	2	0	2	15	12	0.0	0.0	0.0	0.0	4.8546816E8	8.8188762E8	
ENSG00000105894.11_429_932	ENSG00000105894.11_429_932			168	50.00				1.0000	0.9990	9	11	11	11	6	5	6	5	6	5	1.1781928E8	6.7950674E9	1.1781928E8	6.7950674E9	1.1781928E8	6.7950674E9	
ENSG00000105926.15_335_1870	ENSG00000105926.15_335_1870			512	78.70				1.0000	0.9990	42	137	137	141	63	74	63	74	65	76	3.24509542E9	5.129172E9	3.24509542E9	5.129172E9	5.0426993E9	4.9065236E9	
ENSG00000105928.13_427_1914	ENSG00000105928.13_427_1914			496	41.50				1.0000	0.9990	22	53	53	53	26	27	26	27	26	27	1.1034752E9	1.0559584E9	1.1034752E9	1.0559584E9	1.1034752E9	1.0559584E9	
ENSG00000105939.12_84_3095	ENSG00000105939.12_84_3095			1004	76.00				1.0000	0.9990	83	273	264	273	139	134	134	130	139	134	6.4135854E9	5.3920963E9	6.4135854E9	5.3920963E9	6.4135854E9	5.3920963E9	
ENSG00000105948.13_84_1742	ENSG00000105948.13_84_1742			553	51.40				1.0000	0.9990	27	43	4	43	21	22	3	1	21	22	6.920912E8	1.14496704E9	3.61247936E8	4.1151376E8	6.920912E8	1.14496704E9	
ENSG00000105971.14_432_878	ENSG00000105971.14_432_878			149	18.80				1.0000	0.9990	2	4	4	4	3	1	3	1	3	1	7.3700144E7	1.00741336E8	7.3700144E7	1.00741336E8	7.3700144E7	1.00741336E8	
ENSG00000105976.14_201_4370	ENSG00000105976.14_201_4370			1390	38.50				1.0000	0.9990	47	82	82	82	44	38	44	38	44	38	1.08231091E9	1.07508966E9	1.08231091E9	1.07508966E9	1.08231091E9	1.07508966E9	
ENSG00000105982.16_336_1421	ENSG00000105982.16_336_1421			362	36.50				1.0000	0.9990	18	23	23	23	13	10	13	10	13	10	1.67085862E9	7.1248723E8	1.67085862E9	7.1248723E8	1.67085862E9	7.1248723E8	
ENSG00000105983.20_238_1707	ENSG00000105983.20_238_1707			490	25.10				1.0000	0.9990	11	17	17	17	10	7	10	7	10	7	7.9928883E8	5.09041056E8	7.9928883E8	5.09041056E8	7.9928883E8	5.09041056E8	
ENSG00000106009.15_258_2720	ENSG00000106009.15_258_2720			821	38.10				1.0000	0.9990	23	42	42	42	21	21	21	21	21	21	5.30955936E8	6.3088115E8	5.30955936E8	6.3088115E8	5.30955936E8	6.3088115E8	
ENSG00000106012.17_104_2209	ENSG00000106012.17_104_2209			702	47.20				1.0000	0.9990	32	49	49	49	24	25	24	25	24	25	1.90010982E9	2.33145805E9	1.90010982E9	2.33145805E9	1.90010982E9	2.33145805E9	
ENSG00000106025.8_711_1523	ENSG00000106025.8_711_1523			271	39.50				1.0000	0.9990	7	15	15	15	10	5	10	5	10	5	1.48786192E8	9.4103904E8	1.48786192E8	9.4103904E8	1.48786192E8	9.4103904E8	
ENSG00000106028.10_190_633	ENSG00000106028.10_190_633			148	85.10				1.0000	0.9990	15	103	103	103	57	46	57	46	57	46	2.87339295E10	3.07707576E10	2.87339295E10	3.07707576E10	2.87339295E10	3.07707576E10	
ENSG00000106049.8_208_1215	ENSG00000106049.8_208_1215			336	70.50				1.0000	0.9990	24	135	135	135	72	63	72	63	72	63	9.9045304E9	6.6602947E9	9.9045304E9	6.6602947E9	9.9045304E9	6.6602947E9	
ENSG00000106052.13_183_2423	ENSG00000106052.13_183_2423			747	60.90				1.0000	0.9990	56	115	3	115	65	50	2	1	65	50	1.5138175E10	1.83809754E9	0.0	0.0	1.5138175E10	1.83809754E9	
ENSG00000106052.13_89_2455	ENSG00000106052.13_89_2455			789	57.30				1.0000	0.9990	57	3	3	115	2	1	2	1	65	50	1.156196E8	0.0	1.156196E8	0.0	1.5138175E10	1.83809754E9	
ENSG00000106066.14_120_1547	ENSG00000106066.14_120_1547			476	69.70				1.0000	0.9990	33	561	561	561	293	268	293	268	293	268	1.00182508E11	1.28260751E11	1.00182508E11	1.28260751E11	1.00182508E11	1.28260751E11	
ENSG00000106069.21_400_1395	ENSG00000106069.21_400_1395			332	63.30				1.0000	0.9990	16	8	8	30	4	4	4	4	15	15	2.5972352E8	3.24742816E8	2.5972352E8	3.24742816E8	3.88026816E8	6.7607782E8	
ENSG00000106069.21_531_1934	ENSG00000106069.21_531_1934			468	61.30				1.0000	0.9990	22	42	20	42	22	20	11	9	22	20	6.1071885E8	5.4285382E8	6.0327034E8	2.2447288E8	6.1071885E8	5.4285382E8	
ENSG00000106070.17_32_1813	ENSG00000106070.17_32_1813			594	51.20				1.0000	0.9990	31	59	56	59	33	26	30	26	33	26	9.261033E8	2.41400218E9	9.261033E8	2.41400218E9	9.261033E8	2.41400218E9	
ENSG00000106077.18_98_1015	ENSG00000106077.18_98_1015			306	78.40				1.0000	0.9990	22	127	127	127	68	59	68	59	68	59	8.6035825E9	7.8329364E9	8.6035825E9	7.8329364E9	8.6035825E9	7.8329364E9	
ENSG00000106078.17_298_3438	ENSG00000106078.17_298_3438			1047	53.80				1.0000	0.9990	54	108	108	108	67	41	67	41	67	41	5.0788768E8	2.01216768E9	5.0788768E8	2.01216768E9	5.0788768E8	2.01216768E9	
ENSG00000106080.10_177_809	ENSG00000106080.10_177_809			211	33.20				1.0000	0.9990	8	12	12	12	2	10	2	10	2	10	3.09006816E8	1.04478579E9	3.09006816E8	1.04478579E9	3.09006816E8	1.04478579E9	
ENSG00000106086.18_583_1959	ENSG00000106086.18_583_1959			459	48.40				1.0000	0.9990	25	35	35	35	23	12	23	12	23	12	1.42736976E8	2.66603616E8	1.42736976E8	2.66603616E8	1.42736976E8	2.66603616E8	
ENSG00000106089.11_28_891	ENSG00000106089.11_28_891			288	66.00				1.0000	0.9990	23	186	164	186	110	76	96	68	110	76	2.0878934E10	1.04041779E10	2.0878934E10	1.04041779E10	2.0878934E10	1.04041779E10	
ENSG00000106105.13_404_2458	ENSG00000106105.13_404_2458			685	65.40				1.0000	0.9990	42	251	251	251	130	121	130	121	130	121	1.31820186E10	1.58728765E10	1.31820186E10	1.58728765E10	1.31820186E10	1.58728765E10	
ENSG00000106125.14_78_2348	ENSG00000106125.14_78_2348			757	40.20				1.0000	0.9990	26	43	43	43	21	22	21	22	21	22	7.563664E8	9.6189792E8	7.563664E8	9.6189792E8	7.563664E8	9.6189792E8	
ENSG00000106144.19_293_1597	ENSG00000106144.19_293_1597			435	60.50				1.0000	0.9990	23	40	40	40	25	15	25	15	25	15	2.18889216E8	5.25495968E8	2.18889216E8	5.25495968E8	2.18889216E8	5.25495968E8	
ENSG00000106211.8_170_784	ENSG00000106211.8_170_784			205	69.80				1.0000	0.9990	13	73	73	73	30	43	30	43	30	43	6.9726341E9	1.54059305E10	6.9726341E9	1.54059305E10	6.9726341E9	1.54059305E10	
ENSG00000106236.3_307_1458	ENSG00000106236.3_307_1458			384	49.70				1.0000	0.9990	20	30	30	30	15	15	15	15	15	15	1.1086985E9	2.47629747E9	1.1086985E9	2.47629747E9	1.1086985E9	2.47629747E9	
ENSG00000106245.10_530_961	ENSG00000106245.10_530_961			144	81.90				1.0000	0.9990	18	68	68	68	31	37	31	37	31	37	4.8060662E9	4.498135E9	4.8060662E9	4.498135E9	4.8060662E9	4.498135E9	
ENSG00000106258.13_101_1606	ENSG00000106258.13_101_1606			502	37.30				1.0000	0.9990	16	19	19	19	10	9	10	9	10	9	4.74235136E8	6.4294074E8	4.74235136E8	6.4294074E8	4.74235136E8	6.4294074E8	
ENSG00000106261.16_238_1923	ENSG00000106261.16_238_1923			562	76.90				1.0000	0.9990	38	89	86	89	56	33	55	31	56	33	1.4012119E9	1.46744038E9	1.4012119E9	1.46744038E9	1.4012119E9	1.46744038E9	
ENSG00000106263.17_41_2482	ENSG00000106263.17_41_2482			814	72.90				1.0000	0.9990	71	364	364	364	191	173	191	173	191	173	1.24265615E10	1.84221286E10	1.24265615E10	1.84221286E10	1.24265615E10	1.84221286E10	
ENSG00000106266.10_209_1438	ENSG00000106266.10_209_1438			410	67.60				1.0000	0.9990	32	60	60	60	24	36	24	36	24	36	5.7619866E8	2.63180186E9	5.7619866E8	2.63180186E9	5.7619866E8	2.63180186E9	
ENSG00000106290.14_581_2557	ENSG00000106290.14_581_2557			659	60.70				1.0000	0.9990	31	66	66	66	36	30	36	30	36	30	3.95579584E8	1.28453274E9	3.95579584E8	1.28453274E9	3.95579584E8	1.28453274E9	
ENSG00000106299.7_334_1848	ENSG00000106299.7_334_1848			505	57.40				1.0000	0.9990	28	112	112	112	52	60	52	60	52	60	8.6690939E9	4.06099456E9	8.6690939E9	4.06099456E9	8.6690939E9	4.06099456E9	
ENSG00000106305.9_120_1079	ENSG00000106305.9_120_1079			320	51.60				1.0000	0.9990	16	112	112	112	59	53	59	53	59	53	9.2438651E9	1.23301663E10	9.2438651E9	1.23301663E10	9.2438651E9	1.23301663E10	
ENSG00000106331.15_490_1431	ENSG00000106331.15_490_1431			314	24.20				1.0000	0.9990	6	6	6	6	3	3	3	3	3	3	1.38887936E8	1.1098167E9	1.38887936E8	1.1098167E9	1.38887936E8	1.1098167E9	
